activity_id,account_id,activity_date,activity_type,performed_by,source_system,outcome_code,next_follow_up_date,minutes_spent,duplicate_check_flag
ACT-00041,ACC-10013,2026-02-14,manual_plan_note,agent_39,email,next_action_unclear,2026-02-20,8,N
ACT-00042,ACC-10014,2026-01-21,status_check,agent_01,email,updated_row,2026-01-23,3,Y
ACT-00043,ACC-10014,06/01/2026,email_sent,agent_18,email,awaiting_review,2026-01-09,4,N
ACT-00044,ACC-10015,2026-01-05,escalation,agent_34,legacy_db,viewed_status,2026-01-07,7,N
ACT-00045,ACC-10015,2026-01-18,sms_reminder,agent_28,email,sent_to_specialist,2026-01-22,3,N
ACT-00046,ACC-10016,03/02/2026,status_check,agent_19,phone,next_action_unclear,2026-02-09,6,Y
ACT-00047,ACC-10016,2026-01-25,sms_reminder,agent_51,phone,sent_to_specialist,2026-01-25,2,N
ACT-00048,ACC-10017,2026-02-04,status_check,agent_46,spreadsheet,awaiting_review,2026-02-11,5,Y
ACT-00049,ACC-10017,2026-01-27,manual_plan_note,agent_21,spreadsheet,awaiting_review,2026-01-31,5,N
ACT-00050,ACC-10017,2026-02-05,spreadsheet_reconcile,agent_04,legacy_db,viewed_status,2026-02-06,9,Y
ACT-00051,ACC-10017,2026-01-20,email_sent,agent_30,email,promise_to_pay,,7,N
ACT-00052,ACC-10018,2026-02-03,manual_plan_note,agent_04,legacy_db,viewed_status,2026-02-07,10,N
ACT-00053,ACC-10019,2026-01-15,status_check,agent_53,legacy_db,promise_to_pay,2026-01-20,5,Y
ACT-00054,ACC-10019,2026-01-19,status_check,agent_50,email,next_action_unclear,2026-01-21,5,Y
ACT-00055,ACC-10020,11/02/2026,sms_reminder,agent_54,email,no_reply,2026-02-11,2,N
ACT-00056,ACC-10021,2026-02-25,manual_plan_note,agent_22,phone,viewed_status,2026-03-04,5,N
ACT-00057,ACC-10021,2026-02-27,spreadsheet_reconcile,agent_54,phone,viewed_status,2026-02-27,7,N
ACT-00058,ACC-10022,05/02/2026,manual_plan_note,agent_42,legacy_db,viewed_status,2026-02-11,7,N
ACT-00059,ACC-10022,2026-01-31,email_sent,agent_38,phone,next_action_unclear,2026-02-07,4,N
ACT-00060,ACC-10022,2026-02-12,spreadsheet_reconcile,agent_07,legacy_db,promise_to_pay,2026-02-18,11,N
ACT-00061,ACC-10023,2026-02-17,call_attempt,agent_15,spreadsheet,viewed_status,2026-02-24,8,N
ACT-00062,ACC-10023,03/02/2026,manual_plan_note,agent_27,phone,sent_to_specialist,,8,N
ACT-00063,ACC-10023,2026-02-09,status_check,agent_29,legacy_db,awaiting_review,2026-02-16,5,Y
ACT-00064,ACC-10023,2026-02-16,email_sent,agent_21,phone,left_message,2026-02-23,4,N
ACT-00065,ACC-10023,2026-02-01,escalation,agent_20,phone,updated_row,2026-02-03,7,N
ACT-00066,ACC-10024,2026-02-21,status_check,agent_20,email,sent_to_specialist,,4,N
ACT-00067,ACC-10024,2026-02-27,manual_plan_note,agent_04,email,no_reply,2026-03-05,8,N
ACT-00068,ACC-10024,2026-02-23,sms_reminder,agent_20,spreadsheet,viewed_status,2026-02-25,4,N
ACT-00069,ACC-10024,2026-03-02,escalation,agent_44,phone,updated_row,,8,N
ACT-00070,ACC-10025,2026-01-29,sms_reminder,agent_53,spreadsheet,awaiting_review,,2,N
ACT-00071,ACC-10025,2026-01-15,manual_plan_note,agent_31,legacy_db,left_message,,10,N
ACT-00072,ACC-10025,2026-01-12,call_attempt,agent_46,email,awaiting_review,2026-01-16,13,N
ACT-00073,ACC-10025,2026-01-19,manual_plan_note,agent_36,legacy_db,left_message,2026-01-26,7,N
ACT-00074,ACC-10026,2026-02-24,status_check,agent_03,legacy_db,awaiting_review,2026-02-25,3,N
ACT-00075,ACC-10026,2026-02-25,sms_reminder,agent_38,spreadsheet,sent_to_specialist,,3,N
ACT-00076,ACC-10027,2026-02-01,escalation,agent_32,spreadsheet,sent_to_specialist,2026-02-02,8,N
ACT-00077,ACC-10027,2026-01-28,manual_plan_note,agent_43,email,awaiting_review,2026-02-04,8,N
ACT-00078,ACC-10028,2026-02-07,sms_reminder,agent_18,phone,promise_to_pay,2026-02-07,3,N
ACT-00079,ACC-10028,2026-02-06,spreadsheet_reconcile,agent_16,email,awaiting_review,,6,Y
ACT-00080,ACC-10028,2026-02-11,manual_plan_note,agent_51,legacy_db,viewed_status,2026-02-12,9,N
ACT-00081,ACC-10029,2026-01-21,sms_reminder,agent_27,legacy_db,no_reply,,2,N
ACT-00082,ACC-10029,2026-01-17,sms_reminder,agent_56,email,promise_to_pay,2026-01-24,3,N
ACT-00083,ACC-10029,29/01/2026,escalation,agent_40,phone,left_message,2026-01-29,10,N
ACT-00084,ACC-10030,2026-02-08,spreadsheet_reconcile,agent_03,legacy_db,awaiting_review,2026-02-11,12,N
ACT-00085,ACC-10030,09/02/2026,escalation,agent_29,email,promise_to_pay,2026-02-13,7,N
ACT-00086,ACC-10031,2026-01-27,sms_reminder,agent_41,legacy_db,updated_row,2026-02-02,2,N
ACT-00087,ACC-10032,2026-02-14,status_check,agent_23,spreadsheet,promise_to_pay,2026-02-15,5,Y
ACT-00088,ACC-10032,2026-02-22,spreadsheet_reconcile,agent_44,spreadsheet,promise_to_pay,2026-02-22,9,N
ACT-00089,ACC-10032,2026-02-22,escalation,agent_52,phone,updated_row,2026-02-23,9,N
ACT-00090,ACC-10032,17/02/2026,escalation,agent_20,email,promise_to_pay,2026-02-21,9,N
ACT-00091,ACC-10033,08/02/2026,escalation,agent_14,phone,viewed_status,2026-02-09,11,N
ACT-00092,ACC-10033,2026-02-18,sms_reminder,agent_49,email,promise_to_pay,2026-02-18,4,N
ACT-00093,ACC-10033,2026-02-18,spreadsheet_reconcile,agent_04,legacy_db,promise_to_pay,2026-02-22,8,N
ACT-00094,ACC-10033,2026-02-23,escalation,agent_50,email,sent_to_specialist,2026-02-26,7,N
ACT-00095,ACC-10033,2026-02-27,email_sent,agent_50,email,sent_to_specialist,2026-02-27,5,N
ACT-00096,ACC-10034,2026-01-10,sms_reminder,agent_39,email,left_message,,3,N
ACT-00097,ACC-10034,2026-01-16,call_attempt,agent_41,spreadsheet,sent_to_specialist,2026-01-20,8,N
ACT-00098,ACC-10034,24/01/2026,email_sent,agent_39,phone,no_reply,2026-01-27,5,N
ACT-00099,ACC-10035,2026-02-13,sms_reminder,agent_22,spreadsheet,updated_row,2026-02-14,3,N
ACT-00100,ACC-10036,2026-01-28,manual_plan_note,agent_49,phone,promise_to_pay,2026-01-29,8,N
ACT-00101,ACC-10037,2026-01-23,status_check,agent_24,spreadsheet,updated_row,2026-01-28,3,Y
ACT-00102,ACC-10037,2026-01-17,spreadsheet_reconcile,agent_49,email,viewed_status,,12,N
ACT-00103,ACC-10038,2026-01-11,manual_plan_note,agent_47,phone,viewed_status,2026-01-12,5,N
ACT-00104,ACC-10038,28/01/2026,call_attempt,agent_08,phone,promise_to_pay,2026-01-29,14,N
ACT-00105,ACC-10039,2026-01-22,escalation,agent_54,spreadsheet,left_message,2026-01-24,9,N
ACT-00106,ACC-10040,2026-01-18,email_sent,agent_48,legacy_db,no_reply,2026-01-19,6,N
ACT-00107,ACC-10040,2026-01-19,spreadsheet_reconcile,agent_14,legacy_db,left_message,2026-01-21,10,Y
ACT-00108,ACC-10040,2026-01-26,call_attempt,agent_04,legacy_db,no_reply,2026-01-27,12,N
ACT-00109,ACC-10041,28/01/2026,spreadsheet_reconcile,agent_48,legacy_db,sent_to_specialist,2026-02-02,8,Y
ACT-00110,ACC-10042,2026-01-22,call_attempt,agent_15,spreadsheet,awaiting_review,2026-01-28,8,N
ACT-00111,ACC-10043,2026-01-15,call_attempt,agent_06,spreadsheet,awaiting_review,2026-01-16,8,N
ACT-00112,ACC-10043,2026-01-04,manual_plan_note,agent_25,phone,updated_row,,9,N
ACT-00113,ACC-10043,2026-01-03,escalation,agent_48,spreadsheet,promise_to_pay,2026-01-05,10,N
ACT-00114,ACC-10043,2026-01-18,manual_plan_note,agent_05,spreadsheet,sent_to_specialist,,5,N
ACT-00115,ACC-10044,2026-01-09,spreadsheet_reconcile,agent_29,spreadsheet,promise_to_pay,,11,N
ACT-00116,ACC-10044,2026-01-25,spreadsheet_reconcile,agent_01,legacy_db,left_message,2026-01-27,12,N
ACT-00117,ACC-10044,2026-01-21,spreadsheet_reconcile,agent_50,legacy_db,promise_to_pay,2026-01-21,12,Y
ACT-00118,ACC-10044,2026-01-18,sms_reminder,agent_08,email,next_action_unclear,2026-01-21,4,N
ACT-00119,ACC-10044,2026-01-10,email_sent,agent_56,email,sent_to_specialist,2026-01-17,6,N
ACT-00120,ACC-10045,2026-01-04,manual_plan_note,agent_44,phone,left_message,2026-01-08,8,N
ACT-00121,ACC-10045,2026-01-12,sms_reminder,agent_56,legacy_db,next_action_unclear,2026-01-19,2,N
ACT-00122,ACC-10045,2026-01-05,status_check,agent_33,spreadsheet,updated_row,2026-01-11,4,Y
ACT-00123,ACC-10045,2026-01-03,escalation,agent_18,email,left_message,2026-01-04,6,N
ACT-00124,ACC-10045,2026-01-20,email_sent,agent_32,spreadsheet,left_message,2026-01-22,5,N
ACT-00125,ACC-10046,2026-02-03,manual_plan_note,agent_37,phone,no_reply,2026-02-04,9,N
ACT-00126,ACC-10047,2026-02-05,call_attempt,agent_06,legacy_db,next_action_unclear,2026-02-08,10,N
ACT-00127,ACC-10047,2026-02-03,sms_reminder,agent_14,phone,next_action_unclear,,4,N
ACT-00128,ACC-10047,2026-02-16,call_attempt,agent_07,spreadsheet,updated_row,2026-02-20,10,N
ACT-00129,ACC-10047,2026-02-14,sms_reminder,agent_32,phone,no_reply,2026-02-19,3,N
ACT-00130,ACC-10047,2026-02-16,status_check,agent_57,spreadsheet,viewed_status,2026-02-18,5,Y
ACT-00131,ACC-10048,2026-01-03,spreadsheet_reconcile,agent_26,legacy_db,sent_to_specialist,2026-01-03,9,Y
ACT-00132,ACC-10048,2026-01-07,manual_plan_note,agent_24,legacy_db,next_action_unclear,2026-01-10,10,N
ACT-00133,ACC-10049,2026-02-14,status_check,agent_32,phone,updated_row,2026-02-17,4,Y
ACT-00134,ACC-10049,14/02/2026,escalation,agent_11,phone,left_message,2026-02-21,6,N
ACT-00135,ACC-10049,2026-02-11,escalation,agent_11,legacy_db,viewed_status,2026-02-13,6,N
ACT-00136,ACC-10049,2026-02-14,spreadsheet_reconcile,agent_23,spreadsheet,promise_to_pay,2026-02-18,12,N
ACT-00137,ACC-10050,2026-01-29,sms_reminder,agent_41,legacy_db,promise_to_pay,2026-01-29,3,N
ACT-00138,ACC-10050,2026-01-28,status_check,agent_39,phone,awaiting_review,2026-02-03,3,Y
ACT-00139,ACC-10050,2026-01-29,spreadsheet_reconcile,agent_35,phone,sent_to_specialist,2026-02-03,10,N
ACT-00140,ACC-10050,29/01/2026,call_attempt,agent_58,legacy_db,sent_to_specialist,2026-01-31,11,N
ACT-00141,ACC-10050,2026-01-19,sms_reminder,agent_26,email,updated_row,2026-01-23,3,N
ACT-00142,ACC-10051,2026-01-25,call_attempt,agent_42,phone,left_message,2026-01-27,14,N
ACT-00143,ACC-10051,2026-02-01,spreadsheet_reconcile,agent_19,spreadsheet,updated_row,2026-02-07,8,Y
ACT-00144,ACC-10051,2026-01-28,email_sent,agent_30,phone,no_reply,2026-01-31,5,N
ACT-00145,ACC-10051,2026-01-25,escalation,agent_02,email,left_message,2026-01-30,10,N
ACT-00146,ACC-10052,20/01/2026,manual_plan_note,agent_38,legacy_db,next_action_unclear,2026-01-24,7,N
ACT-00147,ACC-10052,2026-01-23,spreadsheet_reconcile,agent_24,email,viewed_status,2026-01-29,6,Y
ACT-00148,ACC-10052,2026-01-13,status_check,agent_05,email,promise_to_pay,,6,Y
ACT-00149,ACC-10052,17/01/2026,email_sent,agent_18,email,viewed_status,2026-01-18,6,N
ACT-00150,ACC-10053,2026-01-08,call_attempt,agent_18,email,left_message,2026-01-11,10,N
ACT-00151,ACC-10053,2026-01-06,sms_reminder,agent_26,email,updated_row,,4,N
ACT-00152,ACC-10054,2026-01-29,sms_reminder,agent_19,spreadsheet,awaiting_review,2026-01-31,3,N
ACT-00153,ACC-10054,2026-02-08,sms_reminder,agent_15,email,sent_to_specialist,2026-02-12,3,N
ACT-00154,ACC-10054,2026-02-07,status_check,agent_19,spreadsheet,updated_row,,3,N
ACT-00155,ACC-10055,2026-02-20,call_attempt,agent_58,email,viewed_status,2026-02-26,12,N
ACT-00156,ACC-10055,2026-03-01,status_check,agent_11,spreadsheet,sent_to_specialist,2026-03-06,5,Y
ACT-00157,ACC-10055,2026-03-03,spreadsheet_reconcile,agent_52,phone,updated_row,2026-03-05,10,Y
ACT-00158,ACC-10055,16/02/2026,call_attempt,agent_47,legacy_db,awaiting_review,2026-02-23,14,N
ACT-00159,ACC-10056,2026-02-21,manual_plan_note,agent_27,phone,next_action_unclear,2026-02-24,6,N
ACT-00160,ACC-10057,2026-01-30,status_check,agent_13,phone,next_action_unclear,2026-01-30,5,Y
ACT-00161,ACC-10058,23/02/2026,manual_plan_note,agent_46,spreadsheet,viewed_status,2026-03-01,6,N
ACT-00162,ACC-10059,2026-02-01,email_sent,agent_37,phone,promise_to_pay,2026-02-03,5,N
ACT-00163,ACC-10059,2026-01-27,status_check,agent_43,phone,updated_row,2026-01-30,3,Y
ACT-00164,ACC-10059,25/01/2026,manual_plan_note,agent_10,phone,viewed_status,2026-01-30,10,N
ACT-00165,ACC-10060,2026-02-09,sms_reminder,agent_06,email,no_reply,2026-02-13,4,N
ACT-00166,ACC-10060,2026-02-25,spreadsheet_reconcile,agent_25,phone,next_action_unclear,,12,N
ACT-00167,ACC-10060,2026-02-27,spreadsheet_reconcile,agent_44,legacy_db,sent_to_specialist,2026-03-03,12,Y
ACT-00168,ACC-10061,2026-02-20,escalation,agent_17,spreadsheet,viewed_status,,6,N
ACT-00169,ACC-10061,21/02/2026,status_check,agent_13,spreadsheet,awaiting_review,2026-02-26,4,Y
ACT-00170,ACC-10062,2026-01-20,call_attempt,agent_57,email,viewed_status,2026-01-27,13,N
ACT-00171,ACC-10062,2026-01-04,sms_reminder,agent_46,email,updated_row,2026-01-07,2,N
ACT-00172,ACC-10063,2026-01-14,status_check,agent_47,spreadsheet,sent_to_specialist,2026-01-15,6,Y
ACT-00173,ACC-10063,2026-01-17,sms_reminder,agent_22,legacy_db,updated_row,2026-01-23,2,N
ACT-00174,ACC-10064,07/02/2026,call_attempt,agent_06,phone,promise_to_pay,2026-02-14,10,N
ACT-00175,ACC-10064,2026-02-01,escalation,agent_40,email,next_action_unclear,2026-02-01,9,N
ACT-00176,ACC-10064,2026-01-24,manual_plan_note,agent_07,phone,awaiting_review,2026-01-27,5,N
ACT-00177,ACC-10064,2026-02-05,escalation,agent_32,phone,updated_row,2026-02-09,6,N
ACT-00178,ACC-10065,2026-01-23,email_sent,agent_51,legacy_db,left_message,2026-01-23,5,N
ACT-00179,ACC-10065,2026-01-20,call_attempt,agent_27,phone,updated_row,2026-01-22,10,N
ACT-00180,ACC-10065,2026-01-18,manual_plan_note,agent_17,legacy_db,promise_to_pay,2026-01-25,10,N
ACT-00181,ACC-10066,2026-02-10,email_sent,agent_42,phone,left_message,2026-02-17,5,N
ACT-00182,ACC-10066,2026-02-08,sms_reminder,agent_04,legacy_db,updated_row,2026-02-13,4,N
ACT-00183,ACC-10066,05/02/2026,escalation,agent_18,spreadsheet,left_message,2026-02-06,6,N
ACT-00184,ACC-10066,2026-02-17,call_attempt,agent_31,spreadsheet,promise_to_pay,,8,N
ACT-00185,ACC-10067,2026-02-04,email_sent,agent_22,phone,next_action_unclear,2026-02-06,7,N
ACT-00186,ACC-10067,2026-01-27,email_sent,agent_10,legacy_db,sent_to_specialist,2026-02-02,7,N
ACT-00187,ACC-10067,2026-02-12,spreadsheet_reconcile,agent_11,phone,sent_to_specialist,2026-02-18,6,Y
ACT-00188,ACC-10067,2026-02-02,sms_reminder,agent_22,phone,updated_row,2026-02-05,2,N
ACT-00189,ACC-10068,2026-02-24,sms_reminder,agent_40,email,next_action_unclear,2026-02-25,4,N
ACT-00190,ACC-10069,2026-02-15,spreadsheet_reconcile,agent_32,email,no_reply,,11,N
ACT-00191,ACC-10069,2026-02-15,status_check,agent_44,phone,viewed_status,2026-02-22,4,Y
ACT-00192,ACC-10069,18/02/2026,sms_reminder,agent_20,phone,no_reply,2026-02-23,2,N
ACT-00193,ACC-10069,2026-02-09,email_sent,agent_18,email,awaiting_review,,7,N
ACT-00194,ACC-10069,2026-02-12,status_check,agent_15,phone,no_reply,2026-02-13,3,N
ACT-00195,ACC-10070,2026-01-31,status_check,agent_15,email,left_message,2026-02-02,6,Y
ACT-00196,ACC-10070,2026-01-19,sms_reminder,agent_06,spreadsheet,viewed_status,2026-01-24,2,N
ACT-00197,ACC-10071,14/01/2026,status_check,agent_41,email,awaiting_review,2026-01-20,5,N
ACT-00198,ACC-10071,2026-01-23,call_attempt,agent_46,spreadsheet,left_message,,13,N
ACT-00199,ACC-10072,2026-01-22,call_attempt,agent_34,spreadsheet,updated_row,2026-01-22,11,N
ACT-00200,ACC-10072,2026-01-25,escalation,agent_02,spreadsheet,left_message,2026-02-01,9,N
ACT-00201,ACC-10072,28/01/2026,status_check,agent_14,spreadsheet,viewed_status,,6,Y
ACT-00202,ACC-10072,2026-01-16,spreadsheet_reconcile,agent_06,spreadsheet,promise_to_pay,2026-01-17,8,Y
ACT-00203,ACC-10073,2026-01-30,email_sent,agent_05,email,promise_to_pay,2026-01-31,4,N
ACT-00204,ACC-10073,2026-01-25,call_attempt,agent_07,spreadsheet,updated_row,2026-01-29,13,N
ACT-00205,ACC-10073,2026-02-01,email_sent,agent_04,legacy_db,no_reply,,5,N
ACT-00206,ACC-10074,05/01/2026,manual_plan_note,agent_41,spreadsheet,next_action_unclear,2026-01-08,10,N
ACT-00207,ACC-10074,10/01/2026,sms_reminder,agent_27,spreadsheet,viewed_status,2026-01-10,3,N
ACT-00208,ACC-10074,2026-01-05,escalation,agent_39,legacy_db,promise_to_pay,2026-01-09,10,N
ACT-00209,ACC-10074,2026-01-12,email_sent,agent_29,spreadsheet,next_action_unclear,2026-01-13,4,N
ACT-00210,ACC-10075,2026-01-11,spreadsheet_reconcile,agent_06,phone,left_message,2026-01-11,6,Y
ACT-00211,ACC-10075,2026-01-21,call_attempt,agent_06,phone,promise_to_pay,2026-01-24,9,N
ACT-00212,ACC-10075,2026-01-10,status_check,agent_16,legacy_db,viewed_status,,5,Y
ACT-00213,ACC-10076,2026-02-06,manual_plan_note,agent_23,email,left_message,2026-02-11,8,N
ACT-00214,ACC-10077,2026-02-10,email_sent,agent_41,spreadsheet,updated_row,2026-02-16,4,N
ACT-00215,ACC-10077,2026-02-04,manual_plan_note,agent_43,phone,next_action_unclear,2026-02-08,6,N
ACT-00216,ACC-10077,2026-02-02,manual_plan_note,agent_15,email,left_message,2026-02-04,7,N
ACT-00217,ACC-10077,2026-02-10,manual_plan_note,agent_37,email,viewed_status,2026-02-17,7,N
ACT-00218,ACC-10077,2026-01-26,email_sent,agent_55,legacy_db,sent_to_specialist,2026-02-02,4,N
ACT-00219,ACC-10078,28/02/2026,manual_plan_note,agent_36,phone,viewed_status,2026-02-28,8,N
ACT-00220,ACC-10078,2026-02-25,email_sent,agent_10,phone,left_message,2026-02-28,7,N
ACT-00221,ACC-10079,2026-02-02,email_sent,agent_44,phone,sent_to_specialist,2026-02-06,6,N
ACT-00222,ACC-10080,2026-02-19,escalation,agent_28,legacy_db,left_message,2026-02-26,6,N
ACT-00223,ACC-10081,2026-02-17,manual_plan_note,agent_33,spreadsheet,updated_row,2026-02-21,7,N
ACT-00224,ACC-10081,2026-03-05,email_sent,agent_34,phone,left_message,2026-03-11,6,N
ACT-00225,ACC-10081,2026-03-03,call_attempt,agent_58,legacy_db,viewed_status,2026-03-06,11,N
ACT-00226,ACC-10081,2026-02-16,email_sent,agent_56,email,promise_to_pay,,4,N
ACT-00227,ACC-10081,25/02/2026,escalation,agent_16,email,promise_to_pay,2026-03-02,8,N
ACT-00228,ACC-10082,2026-02-18,escalation,agent_47,phone,promise_to_pay,2026-02-18,8,N
ACT-00229,ACC-10082,07/02/2026,manual_plan_note,agent_19,email,awaiting_review,2026-02-09,10,N
ACT-00230,ACC-10082,15/02/2026,spreadsheet_reconcile,agent_39,email,promise_to_pay,2026-02-18,7,Y
ACT-00231,ACC-10083,2026-01-21,email_sent,agent_54,email,promise_to_pay,,5,N
ACT-00232,ACC-10083,2026-01-03,escalation,agent_55,legacy_db,viewed_status,2026-01-04,11,N
ACT-00233,ACC-10083,2026-01-23,spreadsheet_reconcile,agent_51,spreadsheet,awaiting_review,2026-01-25,7,Y
ACT-00234,ACC-10084,2026-02-27,sms_reminder,agent_39,phone,left_message,2026-03-05,3,N
ACT-00235,ACC-10084,2026-03-02,manual_plan_note,agent_55,phone,next_action_unclear,2026-03-04,10,N
ACT-00236,ACC-10084,02/03/2026,status_check,agent_14,phone,left_message,2026-03-08,3,N
ACT-00237,ACC-10085,2026-02-14,escalation,agent_25,email,left_message,,9,N
ACT-00238,ACC-10085,2026-02-16,escalation,agent_13,email,awaiting_review,2026-02-23,7,N
ACT-00239,ACC-10085,2026-02-04,escalation,agent_43,legacy_db,next_action_unclear,2026-02-04,7,N
ACT-00240,ACC-10085,31/01/2026,manual_plan_note,agent_41,phone,promise_to_pay,2026-02-02,5,N
ACT-00241,ACC-10085,28/01/2026,spreadsheet_reconcile,agent_08,email,awaiting_review,,12,N
ACT-00242,ACC-10086,2026-02-13,spreadsheet_reconcile,agent_57,phone,awaiting_review,2026-02-18,7,Y
ACT-00243,ACC-10086,2026-02-15,status_check,agent_10,spreadsheet,promise_to_pay,,3,Y
ACT-00244,ACC-10086,2026-02-06,escalation,agent_38,spreadsheet,next_action_unclear,2026-02-09,11,N
ACT-00245,ACC-10087,2026-01-12,escalation,agent_28,phone,promise_to_pay,2026-01-18,6,N
ACT-00246,ACC-10088,2026-01-29,email_sent,agent_25,email,updated_row,2026-01-29,6,N
ACT-00247,ACC-10088,2026-02-11,status_check,agent_46,phone,awaiting_review,2026-02-15,5,N
ACT-00248,ACC-10088,08/02/2026,manual_plan_note,agent_01,spreadsheet,sent_to_specialist,2026-02-14,7,N
ACT-00249,ACC-10088,10/02/2026,email_sent,agent_49,spreadsheet,awaiting_review,2026-02-14,7,N
ACT-00250,ACC-10089,2026-01-25,sms_reminder,agent_14,spreadsheet,updated_row,2026-01-28,3,N
ACT-00251,ACC-10089,2026-01-23,spreadsheet_reconcile,agent_55,spreadsheet,next_action_unclear,2026-01-25,8,N
ACT-00252,ACC-10089,2026-01-29,spreadsheet_reconcile,agent_36,email,promise_to_pay,2026-01-29,8,N
ACT-00253,ACC-10090,2026-03-05,manual_plan_note,agent_38,legacy_db,next_action_unclear,2026-03-06,6,N
ACT-00254,ACC-10090,2026-02-23,status_check,agent_32,legacy_db,no_reply,,6,Y
ACT-00255,ACC-10090,2026-03-02,manual_plan_note,agent_58,spreadsheet,awaiting_review,2026-03-06,5,N
ACT-00256,ACC-10090,18/02/2026,escalation,agent_22,email,sent_to_specialist,2026-02-24,6,N
ACT-00257,ACC-10091,2026-02-17,call_attempt,agent_26,spreadsheet,next_action_unclear,2026-02-17,8,N
